val1,suit1,val2,suit2,nwin,nloose,nsplit
5.0,2.0,8.0,3.0,0.4028,0.5378,0.0594
5.0,1.0,8.0,1.0,0.4184,0.528,0.0536
5.0,1.0,8.0,3.0,0.4002,0.5474,0.0524
5.0,0.0,8.0,1.0,0.3936,0.5524,0.054
5.0,0.0,8.0,3.0,0.4,0.5412,0.0588
5.0,3.0,9.0,1.0,0.4268,0.5232,0.05
5.0,3.0,9.0,0.0,0.4046,0.544,0.0514
5.0,3.0,9.0,3.0,0.4482,0.5082,0.0436
5.0,2.0,9.0,3.0,0.403,0.5426,0.0544
5.0,1.0,9.0,3.0,0.3974,0.553,0.0496
5.0,0.0,9.0,3.0,0.3982,0.5502,0.0516
5.0,3.0,10.0,3.0,0.4632,0.4982,0.0386
5.0,3.0,10.0,1.0,0.4356,0.5178,0.0466
5.0,3.0,10.0,2.0,0.4432,0.5106,0.0462
5.0,3.0,10.0,0.0,0.4306,0.5236,0.0458
5.0,2.0,10.0,3.0,0.4372,0.5128,0.05
5.0,2.0,10.0,1.0,0.415,0.5358,0.0492
5.0,2.0,10.0,2.0,0.468,0.4842,0.0478
5.0,2.0,10.0,0.0,0.425,0.5214,0.0536
5.0,1.0,10.0,3.0,0.428,0.5208,0.0512
5.0,1.0,10.0,1.0,0.4454,0.516,0.0386
5.0,1.0,10.0,2.0,0.4302,0.5242,0.0456
5.0,1.0,10.0,0.0,0.4232,0.527,0.0498
5.0,0.0,10.0,3.0,0.4256,0.531,0.0434
5.0,0.0,10.0,1.0,0.4196,0.5296,0.0508
5.0,0.0,10.0,2.0,0.4246,0.5266,0.0488
5.0,0.0,10.0,0.0,0.4542,0.5042,0.0416
5.0,3.0,11.0,1.0,0.4626,0.4926,0.0448
5.0,3.0,11.0,0.0,0.4516,0.4968,0.0516
5.0,3.0,11.0,3.0,0.4962,0.4628,0.041
5.0,2.0,11.0,1.0,0.4568,0.4962,0.047
5.0,2.0,11.0,0.0,0.4596,0.4942,0.0462
5.0,2.0,11.0,3.0,0.4684,0.4892,0.0424
5.0,1.0,11.0,1.0,0.4926,0.4568,0.0506
5.0,1.0,11.0,0.0,0.4556,0.4942,0.0502
5.0,1.0,11.0,3.0,0.4578,0.4938,0.0484
5.0,0.0,11.0,0.0,0.4722,0.4858,0.042
5.0,0.0,11.0,3.0,0.4602,0.4946,0.0452
5.0,3.0,12.0,1.0,0.4782,0.475,0.0468
5.0,3.0,12.0,0.0,0.4488,0.5152,0.036
5.0,3.0,12.0,2.0,0.4646,0.5004,0.035
5.0,3.0,12.0,3.0,0.49,0.4754,0.0346
5.0,2.0,12.0,0.0,0.4528,0.514,0.0332
5.0,2.0,12.0,2.0,0.495,0.4716,0.0334
5.0,2.0,12.0,3.0,0.451,0.515,0.034
5.0,1.0,12.0,0.0,0.4502,0.5208,0.029
5.0,1.0,12.0,2.0,0.4632,0.505,0.0318
5.0,1.0,12.0,3.0,0.4524,0.519,0.0286
5.0,0.0,12.0,0.0,0.459,0.5064,0.0346
5.0,0.0,12.0,2.0,0.4572,0.5074,0.0354
5.0,0.0,12.0,3.0,0.4492,0.518,0.0328
5.0,3.0,13.0,2.0,0.5176,0.4324,0.05
5.0,3.0,13.0,0.0,0.5288,0.4276,0.0436
5.0,3.0,13.0,3.0,0.5468,0.4158,0.0374
5.0,3.0,13.0,1.0,0.5072,0.4484,0.0444
5.0,2.0,13.0,2.0,0.5304,0.4304,0.0392
5.0,2.0,13.0,0.0,0.5078,0.4526,0.0396
5.0,2.0,13.0,3.0,0.5178,0.4398,0.0424
5.0,2.0,13.0,1.0,0.5122,0.4456,0.0422
5.0,1.0,13.0,2.0,0.5158,0.44,0.0442
5.0,1.0,13.0,0.0,0.5062,0.453,0.0408
5.0,1.0,13.0,3.0,0.5226,0.437,0.0404
5.0,1.0,13.0,1.0,0.5356,0.4236,0.0408
5.0,0.0,13.0,0.0,0.546,0.4114,0.0426
5.0,0.0,13.0,3.0,0.5178,0.4444,0.0378
5.0,0.0,13.0,1.0,0.5124,0.4458,0.0418
5.0,3.0,14.0,0.0,0.5708,0.3928,0.0364
5.0,3.0,14.0,2.0,0.5544,0.4034,0.0422
5.0,3.0,14.0,1.0,0.5654,0.3956,0.039
5.0,2.0,14.0,2.0,0.5792,0.3798,0.041
5.0,2.0,14.0,1.0,0.5646,0.4002,0.0352
5.0,1.0,14.0,2.0,0.5552,0.403,0.0418
5.0,1.0,14.0,1.0,0.577,0.3874,0.0356
5.0,0.0,14.0,1.0,0.5592,0.402,0.0388
6.0,0.0,2.0,2.0,0.3134,0.6166,0.07
6.0,0.0,2.0,1.0,0.3144,0.624,0.0616
6.0,3.0,2.0,2.0,0.3104,0.631,0.0586
6.0,3.0,2.0,1.0,0.3286,0.6062,0.0652
6.0,1.0,2.0,1.0,0.344,0.5926,0.0634
6.0,0.0,3.0,0.0,0.3544,0.5864,0.0592
6.0,0.0,3.0,3.0,0.3388,0.5966,0.0646
6.0,0.0,3.0,2.0,0.33,0.6086,0.0614
6.0,3.0,3.0,0.0,0.3296,0.609,0.0614
6.0,3.0,3.0,3.0,0.3714,0.5672,0.0614
6.0,3.0,3.0,2.0,0.33,0.6054,0.0646
6.0,1.0,3.0,0.0,0.3408,0.5972,0.062
6.0,1.0,3.0,3.0,0.3336,0.603,0.0634
6.0,1.0,3.0,2.0,0.3318,0.6084,0.0598
6.0,2.0,3.0,2.0,0.3762,0.5696,0.0542
6.0,0.0,4.0,1.0,0.319,0.6214,0.0596
6.0,0.0,4.0,0.0,0.3638,0.5758,0.0604
